,co_code,company_name,co_industry_type,co_industry_gp_code,co_industry_name,nic_prod_code,nic_name
5085,186872,NARAYAN AGRO FOODS LTD.,1.0,101011101010000.0,Dairy products,10502.0,"Manufacture of milk-powder, ice-cream powder and condensed milk except baby milk food"
5086,186874,R M I STEELS LTD.,1.0,101013501100000.0,Steel,24105.0,Manufacture of hot-rolled and cold-rolled products of steel
5087,186903,MOHITE INDUSTRIES LTD.,1.0,101011501000000.0,Cotton & blended yarn,13111.0,Preparation and spinning of cotton fiber including blended* cotton
5088,187093,R N PAPER & BOARDS LTD.,1.0,101015001050000.0,Paper & newsprint,17021.0,Manufacture of corrugated paper and paperboard
5089,187215,R P G CABLES LTD. [MERGED],1.0,101014005010000.0,Wires & cables,27320.0,"Manufacture of other electronic and electric wires and cables (insulated wire and cable made of steel, copper, aluminium)"
5090,187235,SUMMIT SECURITIES LTD.,2.0,102040000000000.0,Other fund based financial services,64300.0,"Trusts, funds and other financial vehicles"
5091,187238,BRABOURNE ENTERPRISES LTD. [MERGED],1.0,101012030000000.0,Drugs & pharmaceuticals,21002.0,Manufacture of allopathic pharmaceutical preparations
5092,187257,R P G TRANSMISSION LTD. [MERGED],1.0,101013501100000.0,Steel,25112.0,"Manufacture of metal frameworks or skeletons for construction and parts thereof ((towers, masts, trusses, bridges etc.)"
5093,187329,R P P INFRA PROJECTS LTD.,1.0,101060203000000.0,Infrastructural construction,42909.0,Other civil engineering projects n.e.c.
5094,187468,R R FINANCIAL CONSULTANTS LTD.,2.0,102050100000000.0,Securities broking,66120.0,Security and commodity contracts brokerage
5095,187577,R R SECURITIES LTD.,1.0,101041510000000.0,Business services & consultancy,77.0,Rental and leasing activities
5096,187723,R S D FINANCE LTD.,2.0,102040000000000.0,Other fund based financial services,64191.0,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses"
5097,187839,R S L INDUSTRIES LTD. (TAMILNADU),1.0,101012505500000.0,Other leather & related products,151.0,"Tanning and dressing of leather; Manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur"
5098,187840,R S L INDUSTRIES LTD. [MERGED],1.0,101013501500000.0,Other ferrous metal products,25999.0,Manufacture of other fabricated metal products n.e.c.
5099,187842,R S L TEXTILES (INDIA) LTD.,1.0,101011501000000.0,Cotton & blended yarn,13111.0,Preparation and spinning of cotton fiber including blended* cotton
5100,187909,R S PETROCHEMICALS LTD.,1.0,101012035000000.0,Organic chemicals,20119.0,Manufacture of organic and inorganic chemical compounds n.e.c.
5101,187963,R S SOFTWARE (INDIA) LTD.,1.0,101040801000000.0,Computer software,62013.0,Providing software support and maintenance to the clients
5102,188106,R SYSTEMS INTERNATIONAL LTD.,1.0,101040801000000.0,Computer software,62013.0,Providing software support and maintenance to the clients
5103,188123,R T EXPORTS LTD.,1.0,101040401000000.0,Wholesale trading,46101.0,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live animals, food, beverages, intoxicants and textiles"
5104,188146,R T S POWER CORPN. LTD.,1.0,101014005050000.0,"Generators, transformers & switchgears",27102.0,"Manufacture of electric power distribution transformers, arc-welding transformers, fluorescent ballasts, transmission and distribution voltage regulators"
5105,188372,RAAJRATNA METAL INDS. LTD.,1.0,101013501100000.0,Steel,24103.0,"Manufacture of steel in ingots or other primary forms, and other semi- finished products of steel"
5106,188375,RAAM TYRES LTD.,1.0,101014502052000.0,Tyres & tubes,22119.0,Manufacture of rubber tyres and tubes n.e.c.
5107,188382,RAASHI FERTILIZERS LTD.,1.0,101012015000000.0,Fertilisers,20129.0,Manufacture of other fertilizers n.e.c.
5108,188393,RAASI CEMENT LTD.,1.0,101013001000000.0,Cement,23941.0,Manufacture of clinkers and cement
5109,188394,RAASI CERAMIC INDS. LTD.,1.0,101013015000000.0,Ceramic products,23922.0,"Manufacture of non-refractory ceramic sanitary wares: sinks, baths, water- closet pans, flushing cistern etc."
5110,188397,ANJANI FOODS LTD.,1.0,101011101700500.0,Bakery products,1071.0,Manufacture of bakery products
5111,188399,RAASI LEASING LTD.,2.0,102040000000000.0,Other fund based financial services,64191.0,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses"
5112,188400,RAASI REFRACTORIES LTD.,1.0,101013010000000.0,Refractories,23912.0,"Manufacture of refractory bricks, blocks tiles and similar refractory ceramic constructional goods"
5113,188422,TRILOGIC DIGITAL MEDIA LTD.,1.0,101041520050000.0,Media-broadcasting,6020.0,Television programming and broadcasting activities
5114,188464,TIAAN AYURVEDIC & HERBS LTD.,1.0,101040401000000.0,Wholesale trading,46497.0,Wholesale of pharmaceutical and medical goods
5115,188553,RADAAN MEDIAWORKS INDIA LTD.,1.0,101041520150000.0,Media-content,59113.0,Production of television programmes or television commercials
5116,188555,RADAN MULTIMEDIA LTD.,1.0,101040801000000.0,Computer software,62013.0,Providing software support and maintenance to the clients
5117,188615,RADHA KRISHNA MILLS LTD.,1.0,101015090000000.0,Miscellaneous manufactured articles,32.0,Other manufacturing
5118,188707,RADHE DEVELOPERS (INDIA) LTD.,1.0,101060101000000.0,Housing construction,41001.0,Construction of buildings carried out on own-account basis or on a fee or contract basis
5119,188801,RADHIKA POLYESTERS LTD.,1.0,101011590000000.0,Other textiles,13.0,Manufacture of textiles
5120,188814,RADHIKA SPINNING MILLS LTD.,1.0,101011501000000.0,Cotton & blended yarn,13111.0,Preparation and spinning of cotton fiber including blended* cotton
5121,188912,RADIANT ROTOGRAVURE LTD.,1.0,101012045100000.0,Plastic packaging goods,22203.0,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)"
5122,188943,RADICO KHAITAN FINANCE LTD.,2.0,102059000000000.0,Other fee based financial services,66190.0,Activities auxiliary to financial service activities n.e.c.
5123,188944,RADICO KHAITAN LTD. [MERGED],1.0,101012035000000.0,Organic chemicals,11019.0,"Distilling, rectifying and blending of spirits"
5124,189087,RAGHAV INDUSTRIES LTD.,1.0,101040401000000.0,Wholesale trading,46411.0,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes"
5125,189108,RAGHAVA ESTATES & PROPERTIES LTD.,1.0,101060101000000.0,Housing construction,41001.0,Construction of buildings carried out on own-account basis or on a fee or contract basis
5126,189139,RAGHOJI CEMENT MFG. CO. LTD.,1.0,101013001000000.0,Cement,23942.0,"Manufacture of portland cement, aluminous cement, slag cement and similar hydraulic cement"
5127,189154,RAGHU INDUSTRIES LTD.,1.0,110000000000000.0,Diversified,34.0,Diversified
5128,189192,RAGHUNATH COTTON & OIL PRODUCTS LTD.,1.0,101011101200000.0,Vegetable oils & products,10402.0,Manufacture of vegetable oils and fats excluding corn oil
5129,189198,RAGHUNATH INTERNATIONAL LTD.,1.0,101041510000000.0,Business services & consultancy,77.0,Rental and leasing activities
5130,189209,R T C L LTD.,1.0,101041590000000.0,Other miscellaneous services,46103.0,"Activities of commission agents dealing in wholesale trade in machinery & equipment, other than transport machinery"
5131,189235,RAGHUVANSHI MILLS LTD.,1.0,101011501000000.0,Cotton & blended yarn,13111.0,Preparation and spinning of cotton fiber including blended* cotton
5132,189251,RAGHUVIR SYNTHETICS LTD.,1.0,101011515000000.0,Textile processing,13131.0,Finishing of cotton and blended cotton textiles.
5133,189297,RADIX INDUSTRIES (INDIA) LTD.,1.0,101011150000000.0,Other agricultural products,32904.0,"Manufacture of articles of personal use such as cigarette lighters, smoking pipes, combs, hair slides, scent sprays, vacuum flasks and other vacuum vessels for personal or household use, wigs, false beards, eyebrows etc."
5134,189339,RAHI CHEMICALS LTD.,1.0,101012001000000.0,Inorganic chemicals,20119.0,Manufacture of organic and inorganic chemical compounds n.e.c.
5135,189350,RAHIL INVESTMENT & FINANCE LTD.,2.0,102040000000000.0,Other fund based financial services,64300.0,"Trusts, funds and other financial vehicles"
5136,189389,K M G MILK FOOD LTD.,1.0,101011101010000.0,Dairy products,1412.0,Production of milk from cows or buffaloes
5137,189435,RAHUL MERCHANDISING LTD.,1.0,101041590000000.0,Other miscellaneous services,46103.0,"Activities of commission agents dealing in wholesale trade in machinery & equipment, other than transport machinery"
5138,189494,RAI INVESTMENTS LTD.,2.0,102040000000000.0,Other fund based financial services,64300.0,"Trusts, funds and other financial vehicles"
5139,189508,MOHOTA INDUSTRIES LTD.,1.0,101011505000000.0,Cloth,13121.0,"Weaving, Manufacture of cotton and cotton mixture fabrics."
5140,189523,RAIDEEP INDUSTRIES LTD.,1.0,101040401000000.0,Wholesale trading,46411.0,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry, sports clothes"
5141,189546,STRATMONT INDUSTRIES LTD.,1.0,101040401000000.0,Wholesale trading,46610.0,"Wholesale of solid, liquid and gaseous fuels and related products"
5142,189557,RITES LTD.,1.0,101041510000000.0,Business services & consultancy,70200.0,Management consultancy activities
5143,189577,RAIN CALCINING LTD. [MERGED],1.0,101012050010000.0,Refinery,19209.0,"Manufacture of other petroleum n.e.c. (includes Manufacture of petroleum jelly, micro-crystalline petroleum wax, slack wax, ozokerite, lignite wax, petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals)"
5144,189598,RAINBOW BREWERIES LTD.,1.0,101011101300000.0,Beer & alcohol,11031.0,Manufacture of beer
5145,189619,RAINBOW DENIM LTD.,1.0,101011505000000.0,Cloth,1312.0,Weaving of textiles
5146,189637,RAINBOW FOUNDATIONS LTD.,1.0,101060101000000.0,Housing construction,41001.0,Construction of buildings carried out on own-account basis or on a fee or contract basis
5147,189649,RAINBOW HOUSING DEVP. & FINANCE CORPN. LTD.,2.0,102030400000000.0,Housing finance services,64192.0,Activities of specialized institutions granting credit for house purchases that also take deposits
5148,189670,RAINBOW PAPERS LTD. [MERGED],1.0,101015001050000.0,Paper & newsprint,17015.0,Manufacture of other special purpose paper (excluding computer stationary)
5149,189737,SARDA ENERGY & MINERALS LTD.,1.0,101013501500000.0,Other ferrous metal products,2410.0,Manufacture of basic iron and steel
5150,189815,PAOS INDUSTRIES LTD.,2.0,102040000000000.0,Other fund based financial services,64191.0,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses"
5151,189907,RAJ IRRIGATION PIPES & FITTINGS LTD.,1.0,101040401000000.0,Wholesale trading,46909.0,Other non-specialised wholesale trade n.e.c.
5152,189997,RAJ PACKAGING INDS. LTD.,1.0,101012045100000.0,Plastic packaging goods,22203.0,"Manufacture of plastic articles for the packing of goods (plastic bags, sacks, containers, boxes, cases, carboys, bottles etc.)"
5153,190013,E O C TAILOR MADE POLYMERS INDIA PVT. LTD. (1973),1.0,101012035000000.0,Organic chemicals,20119.0,Manufacture of organic and inorganic chemical compounds n.e.c.
5154,190032,RAJ RAYON INDS. LTD.,1.0,101011515000000.0,Textile processing,20203.0,"Manufacture of synthetic or artificial filament yarn,  tenacity yarn whether or not textured including high tenacity yarn"
5155,190071,RAJ TELEVISION NETWORK LTD.,1.0,101041520050000.0,Media-broadcasting,6020.0,Television programming and broadcasting activities
5156,190105,RAJA BAHADUR INTL. LTD.,1.0,101060209000000.0,Other construction & allied activities,41001.0,Construction of buildings carried out on own-account basis or on a fee or contract basis
5157,190170,RAJADHIRAJ INDUSTRIES LTD.,1.0,101011101200000.0,Vegetable oils & products,10401.0,Manufacture of hydrogenated oil and vanaspati ghee
5158,190296,TROMBO EXTRACTIONS LTD.,1.0,101040401000000.0,Wholesale trading,46305.0,"Wholesale of edible oils, fats, sugar and processed/manufactured spices etc."
5159,190319,RAJAPALAYAM MILLS LTD.,1.0,101011501000000.0,Cotton & blended yarn,13111.0,Preparation and spinning of cotton fiber including blended* cotton
5160,190382,RAJASHREE POLYFIL LTD. [MERGED],1.0,101011510000000.0,Man-made filaments & fibres,20203.0,"Manufacture of synthetic or artificial filament yarn,  tenacity yarn whether or not textured including high tenacity yarn"
5161,190384,TYPHOON HOLDINGS LTD.,1.0,101041510000000.0,Business services & consultancy,71100.0,Architectural and engineering activities and related technical consultancy
5162,190403,RAJASTHAN AMBUJA INDS. LTD.,1.0,101013501100000.0,Steel,24105.0,Manufacture of hot-rolled and cold-rolled products of steel
5163,190409,RAJASTHAN BREWERIES LTD.,2.0,102200000000000.0,Diversified financial services,64910.0,Financial leasing
5164,190426,RAJASTHAN CYLINDERS & CONTAINERS LTD.,1.0,101014001010000.0,General purpose machinery,2813.0,"Manufacture of other pumps, compressors, taps and valves"
5165,190445,RAJASTHAN GASES LTD.,2.0,102040000000000.0,Other fund based financial services,64191.0,"Monetary intermediation of commercial banks, saving banks. postal savings bank and discount houses"
